source_x,title,abstract,publish_time,authors,journal
PMC,Development and Internal Validation of a Novel Model to Identify Inflammatory Biomarkers of a Response to Escitalopram in Patients With Major Depressive Disorder,"Objective: The aim of our study was to identify immune- and inflammation-related factors with clinical utility to predict the clinical efficacy of treatment for depression. Study Design: This was a follow-up study. Participants who met the entry criteria were administered with escitalopram (5–10 mg/day) as an initial treatment. Self-evaluation and observer valuations were arranged at the end of weeks 0, 4, 8, and 12, with blood samples collected at baseline and during weeks 2 and 12. Multivariable logistic regression analysis was then carried out by incorporating three cytokines selected by the Least Absolute Shrinkage and Selection Operator (LASSO) regression model. Internal validation was estimated using the bootstrap method with 1,000 repetitions. Results: A total of 85 patients with Major Depressive Disorder (MDD), including 62 responders and 23 non-responders, were analyzed. Monocyte chemoattractant protein-1 (MCP-1), vascular cell adhesion molecule-1 (VCAM-1), and lipocalin-2 were selected by the LASSO regression model. The area under the curve (AUC) from the logistic model was 0.811 and was confirmed as 0.7887 following bootstrapping validation. Conclusions: We established and validated a good prediction model to facilitate the individualized prediction of escitalopram treatment for MDD and created a personalized approach to treatment for patients with depression.",2021-05-20,"Zhou, Jingjing; Zhou, Jia; Sun, Zuoli; Feng, Lei; Zhu, Xuequan; Yang, Jian; Wang, Gang",Front Psychiatry
PMC; WHO,mRNA-1273: Acute disseminated encephalomyelitis: case report,,2021-11-27,,Reactions Weekly
WHO,The Joint Commission should reconsider its position on virtual monitoring of suicide risk,,2020,"Kroll, David S; Shah, Sejal B; Gorman, Janet M",Gen. hosp. psychiatr
Medline,Flattening the Curve of Prostate Cancer Progression: Accurate Detection and Safe Ablation.,,2020-07-15,"Mitin, Timur; Choudhury, Ananya","International journal of radiation oncology, biology, physics"
PMC,Vincristine: Various toxicities: case report,,2016-06-25,,
BioRxiv; WHO,Single domain shark VNAR antibodies neutralize SARS-CoV-2 infection in vitro,"Single domain shark VNAR antibodies can offer a viable alternative to conventional Ig-based monoclonal antibodies in treating COVID-19 disease during the current pandemic. Here we report the identification of neutralizing single domain VNAR antibodies selected against the SARS-CoV-2 spike protein derived from the Wuhan variant using phage display. We identified 56 unique binding clones that exhibited high affinity and specificity to the spike protein. Of those, 10 showed an ability to block both the spike protein receptor binding domain from the Wuhan variant and the N501Y mutant from interacting with recombinant ACE2 receptor in vitro. In addition, 3 antibody clones retained in vitro blocking activity when the E484K spike protein mutant was used. The inhibitory property of the VNAR antibodies was further confirmed for all 10 antibody clones using ACE2 expressing cells with spike protein from the Wuhan variant. The viral neutralizing potential of the VNAR clones was also confirmed for the 10 antibodies tested using live Wuhan variant virus in in vitro cell infectivity assays. Single domain VNAR antibodies due to their low complexity, small size, unique epitope recognition and formatting flexibility should be a useful adjunct to existing antibody approaches to treat COVID-19.",2021-06-08,"Gauhar, Aziz; Privezentzev, Cyril V; Demydchuk, Mykhaylo; Gerlza, Tanja; Rieger, Julia; Kungl, Andreas J; Walsh, Frank S; Lynn Rutkowski, J; Stocki, Pawel",bioRxiv
Medline; PMC,"Breastfeeding, Human Milk and COVID-19—What Does the Evidence Say?",,2020-11-20,"Mitoulas, Leon R.; Schärer-Hernández, Nania G.; Liabat, Severine",Front Pediatr
WHO,Point-of-care ultrasound during the COVID-19 pandemic: A multidisciplinary approach between intensivists and echocardiographers,"PURPOSE: The coronavirus disease-2019 (COVID-19) led to a large influx of critically ill patients and altered echocardiography laboratory workflow. We developed a point-of-care ultrasound (POCUS) first approach to patients requiring echocardiography and describe our workflow and findings. METHODS: We performed a single-center retrospective analysis of all POCUS studies performed on critically ill patients with COVID-19. Sonography was performed by intensivists, uploaded and archived, and rapidly reviewed by echocardiographers. We evaluated each study based on the number of views obtained. Additionally, we provide a description of the workflow during the COVID-19 surge at a tertiary care hospital in New York City. RESULTS: Fifty patients had POCUS studies performed by intensivists and reviewed by echocardiographers obviating the need for sonographer-performed studies. Of the 48 cardiac POCUS studies, 17% of patients had 4 of 4 standard views available while 53% had 3 of 4 standard views. The parasternal long-axis view was obtained on 81%, subxiphoid view on 79%, apical 4-chamber view on 71%, and parasternal short-axis view on 63% of patients. CONCLUSIONS: Our POCUS workflow allowed intensivists to perform cardiac sonography for rapid bedside diagnosis of pathology with immediate interpretation performed by echocardiographers. At least 3 views were obtained in the majority of cases.",2021,"Yuriditsky, Eugene; Saric, Muhamed; Horowitz, James M",Echocardiography
PMC; WHO,"Joint Predictive Value of cTnI and NT-proBNP on Mortality in Patients with Coronavirus Disease 2019: A Retrospective Research in Wuhan, China","BACKGROUND AND OBJECTIVES: The pandemic of coronavirus disease 2019 (COVID-19) remains to be the biggest public threat all over the world. Because of the rapid deterioration in some patients, markers that could predict poor clinical outcomes are urgently required. This study was to evaluate the predictive values of cardiac injury parameters, including cardiac troponin I (cTnI) and N-terminal pro-B-type natriuretic peptide (NT-proBNP) levels, on mortality in COVID-19 patients. METHODS: COVID-19 patients in Zhongfaxincheng branch of Tongji Hospital (Wuhan, China) from February 8–28, 2020, were enrolled in this study. We followed up the patients for 30 days after admission. RESULTS: A total of 134 patients were included in the study. Multivariate Cox regression showed that 1) patients with elevated cTnI levels had a higher risk of death (hazard ratio [HR] 7.33, 95% confidence interval [CI] 2.56–21.00) than patients with normal cTnI levels; 2) patients with elevated NT-proBNP levels had a higher risk of death (HR 27.88, 95% CI 3.55–218.78) than patients with normal NT-proBNP levels; 3) patients with both elevated cTnI and NT-proBNP levels had a significantly higher risk of death (HR 53.87, 95% CI 6.31–459.91, P < 0.001) compared to patients without elevated cTnI or NT-proBNP levels; 4) the progressions of cTnI and NT-proBNP levels were also correlated with death (HR 12.70, 95% CI 3.94–40.88, P < 0.001 and HR 51.09, 95% CI 5.82–448.26, P < 0.001). CONCLUSIONS: In COVID-19 patients, cTnI and NT-proBNP levels could be monitored to identify patients at a high risk of death in their later course of disease.",2021-09-28,"Weng, Haoyu; Yang, Fan; Zhang, Long; Jin, Han; Liu, Shengcong; Fan, Fangfang; Liu, Zhihao; Zheng, Xizi; Yang, Hongyu; Li, Yuxi; Yi, Tieci; Li, Haichao; Zhang, Yan; Li, Jianping",J Transl Int Med
Medline,"Glass hybrid (glass ionomer) versus composite for non-carious cervical lesions: Survival, restoration quality and costs in randomized controlled trial after 3 years.","OBJECTIVE This study compared survival, restoration quality and costs of glass hybrid (GH; EQUIA Forte Fil/EQUIA Forte Coat) and resin composite restorations (RC; OptiBond FL/Filtek Supreme XTE) of sclerotic non-carious cervical lesions. METHODS This is a cluster-randomized trial (ClinicalTrials.gov: NCT02631161). 88 patients (50-70 years) with 175 sNCCLs were randomized to receive GH or RC. Restorations were placed without mechanical cavity preparation and followed for a mean 36 (min/max: 31/55) months (variable follow-up due to COVID-19 lockdown). Restoration quality was re-evaluated at 1-, 18- and 36-months using FDI-criteria. Survival was assessed using multi-level Cox-regression analysis. Costs were estimated from a payer's perspective in Germany. Initial costs were determined based on micro-costing using time recordings and hourly costs, and follow-up costs based on statutory insurance fee-item-catalogues. RESULTS 88 patients (175 restorations) were treated; 43 received GH (83 restorations), 45 RC (92 restorations). 17 GH and 19 RC showed total retention loss, 5 GH were partially lost (p = 0.396/Cox). FDI ratings were not sufficiently different for any domain except surface luster, where RC showed higher score (p < 0.001). Costs were initially lower for GH (32.57; SD 16.36 €) than RC (44.25; SD 21.40), while re-treatment costs were similar (GH: 9.15; SD 15.70 €; RC: 7.35; SD 14.51 €), resulting in significantly lower costs for GH (GH: 41.72; SD 25.08 €) than RC (51.6; 26.17 €) (p < 0.001/GLM). CONCLUSIONS While survival was not significantly different, GH was significantly less costly both initially and long-term than RC for restoring non-carious cervical lesions. CLINICAL SIGNIFICANCE Within this trial, survival was not significantly different between GH and RC to restore sclerotic NCCLs. As GH was significantly less costly both initially and long-term than RC, using RC was only cost-effective for payers willing to invest high additional expenses per minimal survival gains.",2021-05-09,"Schwendicke, Falk; Müller, Anne; Seifert, Tilmann; Jeggle-Engbert, Linda-Maria; Paris, Sebastian; Göstemeyer, Gerd",Journal of dentistry
WHO,Screening of immune-related differentially expressed genes from primary lymphatic organs of broilers fed with probiotic bacillus cereus PAS38 based on suppression subtractive hybridization,"To explore the molecular mechanism of the effect of Bacillus cereus PAS38 on the immunity of broilers, sixty 7-day-old broilers were divided into two groups with three replicates. The control group was fed with basal diet, and the treatment group was fed with basal diet containing Bacillus cereus PAS38 1×106 CFU/g. Thymus and bursa of fabricius were taken from two groups of broilers at the age of 42 days, total RNA was extracted, differential gene library was constructed by SSH technology, and immune-related differential genes were screened. Then, we used siRNA to interfere with the expression of some differential genes in the original generation lymphocytes of broiler blood to detect the change of cytokines mRNA expression level. A total of 42 immune-related differentially expressed genes were screened, including 22 up-regulated genes and 20 down-regulated genes. When 7 differentially up-regulated genes associated with enhanced immune function were interfered with in lymphocytes, some immune-promoting cytokines were down-regulated. These results showed that Bacillus cereus PAS38 might up-regulate the expression of JCHAIN, PRDX1, CD3E, CDK6 and other genes in immune organs of broilers, thereby affecting the development of immune organs, the expression of various cytokines and the transduction of immune signals, improving the immune capacity of broilers.",2020,"Li, Jiajun; Li, Wanqiang; Wang, Zhenhua; Khalique, Abdul; Wang, Junrui; Yang, Miao; Ni, Xueqin; Zeng, Dong; Zhang, Dongmei; Zeng, Yan; Luo, Qihui; Jing, Bo; Pan, Kangcheng",PLoS One
